brand_name,calcium_perc,calories,carb_g,cholesterol_mg,fat_g,fiber_g,iron_perc,item_desc,item_name,potassium_mg,protein_g,saturated_fat_g,serving_size,sodium_mg,sugar_g,trans_fat_g,vit_a_perc,vit_c_perc,brand_label,category
Five Guys®,6%,480,39g,65mg,26g,2g,8%,not found,Hamburger with Bun (plain),not found,23g,11.5g,1 hamburger ? 171g,380mg,8g,0g,0%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,495,43g,65mg,26g,2g,8%,not found,Hamburger with Bun and Ketchup,not found,23g,11.5g,1 hamburger ? 188g,570mg,12g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,495,43g,65mg,26g,2g,8%,not found,"Hamburger with Bun, Ketchup and Mustard",not found,23g,11.5g,1 hamburger ? 205g,625mg,12g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,500,44g,65mg,26g,2g,8%,not found,"Hamburger with Bun, Ketchup, Mustard and Pickles",not found,23g,11.5g,1 hamburger ? 233g,890mg,12g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,0%,285,1g,56mg,26g,0g,6%,not found,Hebrew National Hotdog (without bun),not found,11g,12g,1 hotdog ? 90g,800mg,0g,0g,0%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,260,39g,5mg,9g,2g,6%,not found,Hotdog Bun,not found,7g,3.5g,1 bun ? 77g,330mg,8g,0g,not found,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,545,40g,61mg,35g,2g,12%,not found,Hotdog with Bun (plain),not found,18g,15.5g,1 hotdog ? 167g,1130mg,8g,0g,0%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,560,44g,61mg,35g,2g,12%,not found,Hotdog with Bun and Ketchup,not found,18g,15.5g,1 hotdog ? 184g,1320mg,12g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,560,44g,61mg,35g,2g,12%,not found,Hotdog with Bun and Relish,not found,18g,15.5g,1 hotdog ? 182g,1215mg,11g,0g,0%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,575,48g,61mg,35g,2g,12%,not found,"Hotdog with Bun, Ketchup and Relish",not found,18g,15.5g,1 hotdog ? 199g,1405mg,15g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,575,48g,61mg,35g,2g,12%,not found,"Hotdog with Bun, Ketchup, Mustard and Relish",not found,18g,15.5g,1 hotdog ? 216g,1460mg,15g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,6%,560,44g,61mg,35g,2g,12%,not found,"Hotdog with Bun, Mustard and Relish",not found,18g,15.5g,1 hotdog ? 199g,1270mg,11g,0g,0%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,3,<1g,0mg,0g,0g,0%,not found,Jalapenos,not found,0g,0g,11g,184mg,0g,0g,4%,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,0%,15,4g,0mg,0g,0g,0%,not found,Ketchup,not found,0g,0g,1 Tbsp ? 17g,190mg,4g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,10%,70,<1g,20mg,6g,0g,0%,not found,Kraft American Cheese,not found,4g,3.5g,1 slice ? 19g,310mg,<1g,0g,4%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,4,1g,0mg,0g,<1g,0%,not found,Lettuce,not found,0g,0g,30g,3mg,<1g,0g,3%,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,100,not found,10mg,11g,not found,not found,not found,Mayonnaise,not found,0g,2g,14g,75mg,0g,0g,not found,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,5,1g,0mg,0g,0g,not found,not found,Mt. Olive Fresh Kosher Dill Pickles,not found,0g,0g,6 chips ? 28g,265mg,0g,0g,not found,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,15,4g,0mg,0g,0g,not found,not found,Mt. Olive Special Sweet Green Relish,not found,0g,0g,15g,85mg,3g,0g,not found,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,10,3g,0mg,0g,<1g,0%,not found,Onions,not found,0g,0g,26g,1mg,1g,0g,not found,not found,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,0%,80,0g,15mg,7g,0g,0%,not found,Patrick Cudahy Bacon,not found,4g,3g,2 slices ? 14g,260mg,0g,0g,0%,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,10,1g,not found,0g,<1g,0%,not found,Sauteed Mushrooms,not found,1g,0g,25g,100mg,0g,0g,not found,0%,5 Guys Famous Burgers and Fries,restaurant
Five Guys®,not found,9,2g,0mg,0g,<1g,not found,not found,Tomatoes,not found,<1g,0g,52g,3mg,2g,0g,9%,not found,5 Guys Famous Burgers and Fries,restaurant
7-Eleven®,not found,480,3g,80mg,45g,0g,not found,"Oscar Mayer brand hot dog with bun, no condiments",1/3 Pound Biggest Big Bite Hot Dog,not found,16g,19g,1 hot dog,1510mg,2g,not found,not found,not found,7-Eleven,restaurant
7-Eleven®,not found,450,73g,not found,14g,not found,not found,World Ovens brand,Blueberry Muffin,not found,not found,not found,1 muffin,not found,not found,not found,not found,not found,7-Eleven,restaurant
7-Eleven®,10%,190,16g,30mg,7g,1g,6%,not found,Buffalo Chicken Roller,not found,15g,2.5g,1 chicken roller ? 85g,880mg,2g,0g,6%,2%,7-Eleven,restaurant
7-Eleven®,not found,310,34g,not found,17g,not found,not found,World Ovens brand,Cheese Danish,not found,not found,not found,1 danish,not found,not found,not found,not found,not found,7-Eleven,restaurant
7-Eleven®,4%,320,23g,35mg,21g,3g,10%,Oscar Mayer brand corn dog without the stick,Corn Dog Rollers,not found,10g,7g,1 hot dog ? 96g,840mg,5g,0g,0%,8%,7-Eleven,restaurant
7-Eleven®,6%,90,6g,10mg,6g,1g,0%,"warm triangular pan-fried snacks, filled with melted cheese and encrusted with the signature nacho cheese flavor",Doritos Loaded Nacho Cheese Wedges - Each piece,not found,3g,2g,1 piece ? 25g ? 1/4 order,270mg,0g,0g,0%,0%,7-Eleven,restaurant
7-Eleven®,4%,190,23g,15mg,8g,0g,8%,"fluffy eggs, seasoned sausage and bacon","Go-Go Taquitos - Bacon, Egg, Cheese & Potato",not found,6g,2g,1 taquito ? 85g,350mg,1g,0g,2%,0%,7-Eleven,restaurant
7-Eleven®,2%,180,22g,15mg,8g,1g,0%,chicken covered in hot sauce with chunks of blue cheese,Go-Go Taquitos - Buffalo Chicken,not found,6g,2g,1 taquito ? 85g,470mg,1g,0g,2%,8%,7-Eleven,restaurant
7-Eleven®,0%,240,27g,30mg,13g,1g,8%,"cool cream cheese, mild American and melty Monterey cheeses plus fiery jalapeno peppers",Go-Go Taquitos - Jalapeno Cream Cheese,not found,5g,8g,1 taquito ? 85g,320mg,1g,0g,8%,2%,7-Eleven,restaurant
7-Eleven®,2%,280,30g,20mg,14g,3g,10%,chicken with Monterey jack cheese,Go-Go Taquitos - Montery Jack and Chicken,not found,7g,4.5g,1 taquito ? 85g,780mg,1g,0g,8%,2%,7-Eleven,restaurant
7-Eleven®,not found,210,33g,not found,8g,not found,not found,World Ovens brand,Jelly Donut,not found,not found,not found,1 donut,not found,not found,not found,not found,not found,7-Eleven,restaurant
7-Eleven®,10%,520,38g,140mg,34g,1g,10%,"Sausage, Egg & Cheese in a Waffle",Pilllsbury Stuffed Waffle - Sweet Maple Flavor,not found,15g,15g,1 piece ? 4.5 oz ? 127g,800mg,11g,0g,4%,0%,7-Eleven,restaurant
7-Eleven®,not found,177,48g,0mg,0g,0g,not found,not found,"Slurpee, Coca-Cola Classic flavored",not found,0g,0g,12 oz,not found,not found,0g,not found,not found,7-Eleven,restaurant
7-Eleven®,not found,940,116g,not found,42g,not found,not found,"ground beef, beans, red sauce and cheese wrapped in a large tortilla",The Bomb Burrito,not found,not found,16g,1 burrito ? 14 oz,not found,not found,not found,not found,not found,7-Eleven,restaurant
